,fake,profile_pic,ratio_numlen_username,len_fullname,ratio_numlen_fullname,sim_name_username,len_desc,extern_url,private,num_posts,num_followers,num_following
0,0,Yes,0.27,0,0.0,No match,53,No,No,32,1000,955
1,0,Yes,0.0,2,0.0,Partial match,44,No,No,286,2740,533
2,0,Yes,0.1,2,0.0,Partial match,0,No,Yes,13,159,98
3,0,Yes,0.0,1,0.0,Partial match,82,No,No,679,414,651
4,0,Yes,0.0,2,0.0,No match,0,No,Yes,6,151,126
5,0,Yes,0.0,4,0.0,Partial match,81,Yes,No,344,669987,150
6,0,Yes,0.0,2,0.0,Partial match,50,No,No,16,122,177
7,0,Yes,0.0,2,0.0,No match,0,No,No,33,1078,76
8,0,Yes,0.0,0,0.0,Partial match,71,No,No,72,1824,2713
9,0,Yes,0.0,2,0.0,No match,40,Yes,No,213,12945,813
10,0,Yes,0.0,2,0.0,Partial match,54,No,No,648,9884,1173
11,0,Yes,0.0,2,0.0,No match,54,Yes,No,76,1188,365
12,0,Yes,0.0,2,0.0,Partial match,0,Yes,No,298,945,583
13,0,Yes,0.0,2,0.0,Partial match,103,Yes,No,117,12033,248
14,0,Yes,0.0,2,0.0,Partial match,98,Yes,No,487,1962,2701
15,0,Yes,0.0,3,0.0,Partial match,46,No,No,254,50374,900
16,0,Yes,0.0,3,0.0,Partial match,0,No,No,59,7007,289
17,0,Yes,0.29,3,0.0,Partial match,48,No,No,1570,1128,694
18,0,Yes,0.0,2,0.0,No match,63,Yes,No,378,34670,1878
19,0,Yes,0.0,2,0.0,Partial match,106,Yes,No,526,2338,776
20,0,Yes,0.0,2,0.0,No match,40,No,No,228,3516,999
21,0,Yes,0.0,1,0.0,Partial match,35,Yes,Yes,35,1809,416
22,0,Yes,0.0,2,0.0,Partial match,30,No,No,281,427,470
23,0,Yes,0.0,1,0.0,Partial match,27,No,No,285,759,956
24,0,Yes,0.0,0,0.0,No match,0,No,No,148,15338538,61
25,0,Yes,0.0,1,0.0,No match,109,Yes,Yes,57,109,179
26,0,Yes,0.0,6,0.0,Partial match,0,No,Yes,17,536,665
27,0,Yes,0.0,2,0.0,Partial match,132,Yes,No,511,121354,176
28,0,Yes,0.0,2,0.0,No match,126,Yes,No,230,2284,130
29,0,Yes,0.0,2,0.0,Partial match,122,No,Yes,15,186,174
30,0,Yes,0.0,2,0.0,Partial match,138,No,Yes,980,687,1517
31,0,Yes,0.13,0,0.0,No match,0,No,Yes,53,966,952
32,0,Yes,0.0,2,0.0,Partial match,50,No,Yes,111,177,170
33,0,Yes,0.0,2,0.0,Partial match,35,No,No,719,744,967
34,0,Yes,0.0,2,0.0,Partial match,56,Yes,No,1164,542073,674
35,0,Yes,0.18,2,0.0,No match,9,No,No,497,5315651,2703
36,0,Yes,0.33,0,0.0,Partial match,0,No,Yes,18,267,328
37,0,Yes,0.0,2,0.0,Partial match,81,No,No,50,691,680
38,0,Yes,0.0,2,0.0,Partial match,134,No,Yes,74,120,112
39,0,Yes,0.0,2,0.0,Partial match,0,No,No,8,105,98
40,0,Yes,0.0,0,0.0,No match,2,No,No,7389,890969,11
41,0,Yes,0.0,2,0.0,No match,0,Yes,No,420,361853,583
42,0,Yes,0.0,2,0.0,Partial match,23,No,No,433,3678,1359
43,0,Yes,0.0,2,0.0,Partial match,138,Yes,No,156,92192,16
44,0,Yes,0.0,4,0.0,No match,35,No,No,4494,12397719,8
